;HT;Hmix;Hlocal;Hfeld;Hchave;Placa;codigo
1;27;27;24.85;20.65;18.59;1;0102 G2_1_1
2;26;26;28.5;22.64;20.28;2;0102 G2_1_2
3;NA;10.86;10.86;12.99;12.31;3;0102 G2_1_3
4;NA;11.27;11.27;13.3;12.57;4;0102 G2_1_4
5;24.5;24.5;21.57;19.03;17.25;5;0102 G2_1_5
6;23;23;18.21;17.38;15.89;6;0102 G2_1_6
7;9;9;7.65;8.98;8.97;7;0102 G2_1_7
8;NA;22.03;22.03;19.26;17.43;8;0102 G2_1_8
9;NA;19.19;19.19;17.87;16.29;9;0102 G2_1_9
10;NA;9.99;9.99;12.27;11.72;10;0102 G2_1_10
11;NA;8.21;8.21;10.29;10.08;11;0102 G2_1_11
12;NA;18.21;18.21;17.38;15.89;12;0102 G2_1_12
13;NA;8.46;8.46;10.65;10.38;13;0102 G2_1_13
14;NA;22.03;22.03;19.26;17.43;14;0102 G2_1_14
15;26.5;26.5;27.03;21.79;19.56;15;0102 G2_1_15
16;17;17;10.76;12.91;12.25;16;0102 G2_1_16
17;25;25;21.91;19.2;17.39;17;0102 G2_1_17
18;NA;21.22;21.22;18.86;17.11;18;0102 G2_1_18
19;NA;11.7;11.7;13.61;12.82;19;0102 G2_1_19
20;NA;21.57;21.57;19.03;17.25;20;0102 G2_1_20
21;NA;16.98;16.98;16.75;15.37;21;0102 G2_1_21
22;NA;25.35;25.35;20.91;18.81;22;0102 G2_1_22
23;NA;8.74;8.74;11;10.68;23;0102 G2_1_23
24;NA;11.17;11.17;13.22;12.5;24;0102 G2_1_24
25;NA;26.95;26.95;21.75;19.52;25;0102 G2_1_25
26;NA;17.6;17.6;17.06;15.63;26;0102 G2_1_26
27;NA;22.71;22.71;19.59;17.71;27;0102 G2_1_27
28;NA;20.75;20.75;18.63;16.92;28;0102 G2_1_28
29;NA;13.72;13.72;14.92;13.89;29;0102 G2_1_29
30;NA;17.84;17.84;17.19;15.73;30;0102 G2_1_30
31;NA;22.82;22.82;19.64;17.75;31;0102 G2_1_31
32;NA;22.03;22.03;19.26;17.43;32;0102 G2_1_32
33;NA;22.48;22.48;19.48;17.62;33;0102 G2_1_33
34;23.5;23.5;21.91;19.2;17.39;34;0102 G2_1_34
35;23;23;15.4;15.89;14.68;35;0102 G2_1_35
36;NA;12.02;12.02;13.83;13;36;0102 G2_1_36
37;NA;7.67;7.67;9.08;9.06;37;0102 G2_1_37
38;NA;21.57;21.57;19.03;17.25;38;0102 G2_1_38
39;NA;12.8;12.8;14.35;13.42;39;0102 G2_1_39
40;NA;24.65;24.65;20.55;18.51;40;0102 G2_1_40
41;NA;16.74;16.74;16.62;15.27;41;0102 G2_1_41
42;NA;18.21;18.21;17.38;15.89;42;0102 G2_1_42
43;17;17;12.02;13.83;13;43;0102 G2_1_43
44;NA;18.82;18.82;17.68;16.14;44;0102 G2_1_44
45;NA;15.88;15.88;16.16;14.89;45;0102 G2_1_45
46;18.75;18.75;11.48;13.45;12.69;46;0102 G2_1_46
47;26;26;22.37;19.43;17.57;47;0102 G2_1_47
48;21;21;20.51;18.52;16.82;48;0102 G2_1_48
49;NA;19.55;19.55;18.05;16.43;49;0102 G2_1_49
50;NA;20.15;20.15;18.34;16.68;50;0102 G2_1_50
51;27;27;29.28;23.13;20.71;51;0102 G2_1_51
52;NA;21.33;21.33;18.92;17.15;52;0102 G2_1_52
53;NA;25.74;25.74;21.11;18.98;53;0102 G2_1_53
54;25;25;29.48;23.26;20.82;54;0102 G2_1_54
55;NA;10.66;10.66;12.83;12.18;55;0102 G2_1_55
56;24;24;23.59;20.02;18.07;56;0102 G2_1_56
57;19;19;13.84;15;13.95;57;0102 G2_1_57
58;20;20;14.55;15.41;14.29;58;0102 G2_1_58
59;NA;9.37;9.37;11.69;11.89;1;0217 A3_184SJQ_1
60;NA;13.38;13.38;14.71;14.5;2;0217 A3_184SJQ_2
61;NA;15.88;15.88;16.16;15.74;3;0217 A3_184SJQ_3
62;NA;11.7;11.7;13.61;13.55;4;0217 A3_184SJQ_4
63;NA;12.8;12.8;14.35;14.19;5;0217 A3_184SJQ_5
64;NA;12.58;12.58;14.2;14.06;7;0217 A3_184SJQ_7
65;NA;11.17;11.17;13.22;13.22;8;0217 A3_184SJQ_8
66;NA;8.21;8.21;10.29;10.66;9;0217 A3_184SJQ_9
67;NA;13.14;13.14;14.57;14.38;10;0217 A3_184SJQ_10
68;7.5;7.5;7.75;9.37;9.83;13;0217 A3_184SJQ_13
69;NA;8.21;8.21;10.29;10.66;14;0217 A3_184SJQ_14
70;NA;10.66;10.66;12.83;12.88;15;0217 A3_184SJQ_15
71;8.5;8.5;8;9.93;10.34;16;0217 A3_184SJQ_16
72;NA;8;8;7.46;8.09;17.1;0217 A3_184SJQ_17.1
73;NA;8.09;8.09;7.35;7.99;17.2;0217 A3_184SJQ_17.2
74;NA;7.67;7.67;9.08;9.57;18;0217 A3_184SJQ_18
75;NA;11.38;11.38;13.38;13.35;19;0217 A3_184SJQ_19
