;HT;Hmix;Hlocal;Hfeld;Hchave;Placa;codigo
1;19.3;19.3;14.97;21.06;19.3;1;0101 A2_1_1
2;20.02;20.02;15.8;21.89;20.02;3;0101 A2_1_3
3;18.69;18.69;14.27;20.34;18.69;4;0101 A2_1_4
4;18.82;18.82;14.42;20.5;18.82;5;0101 A2_1_5
5;14.25;14.25;9.94;15.62;14.74;6;0101 A2_1_6
6;13.75;13.75;8.73;14.2;13.56;7;0101 A2_1_7
7;16;16;16.97;23.04;21.03;8;0101 A2_1_8
8;17.1;17.1;12.49;18.46;17.1;9;0101 A2_1_9
9;17.1;17.1;12.49;18.46;17.1;10;0101 A2_1_10
10;19.26;19.26;14.92;21.01;19.26;11;0101 A2_1_11
11;17.75;17.75;17.56;23.61;21.53;12;0101 A2_1_12
12;16.85;16.85;12.22;18.17;16.85;14;0101 A2_1_14
13;17.15;17.15;12.54;18.52;17.15;15;0101 A2_1_15
14;18.51;18.51;14.06;20.13;18.51;16;0101 A2_1_16
15;16.5;16.5;15.26;21.36;19.56;17;0101 A2_1_17
16;18.28;18.28;13.81;19.86;18.28;18;0101 A2_1_18
17;16.25;16.25;14.47;20.55;18.86;19;0101 A2_1_19
18;17.77;17.77;13.23;19.26;17.77;20;0101 A2_1_20
19;15.07;15.07;10.3;16.03;15.07;21;0101 A2_1_21
20;9.3;9.3;6.07;10.92;10.81;22;0101 A2_1_22
21;20.19;20.19;15.99;22.08;20.19;23;0101 A2_1_23
22;19.17;19.17;14.82;20.91;19.17;24;0101 A2_1_24
23;20.19;20.19;15.99;22.08;20.19;25;0101 A2_1_25
24;20.23;20.23;16.03;22.13;20.23;27;0101 A2_1_27
25;20.63;20.63;16.51;22.59;20.63;28;0101 A2_1_28
26;17.29;17.29;12.7;18.69;17.29;30;0101 A2_1_30
27;18.91;18.91;14.52;20.6;18.91;31;0101 A2_1_31
28;16.7;16.7;12.05;17.99;16.7;32;0101 A2_1_32
29;19.52;19.52;15.21;21.31;19.52;33;0101 A2_1_33
