;HT;Hmix;Hlocal;Hfeld;Hchave;Placa;codigo
1;21.5;21.5;16.98;21.16;19;10;0102 A2_1_10
2;18.5;18.5;15.04;17.74;16.17;11;0102 A2_1_11
3;20;20;18.21;24.07;21.51;12;0102 A2_1_12
4;18;18;15.35;18.22;16.57;14;0102 A2_1_14
5;23;23;17.51;22.31;19.98;16;0102 A2_1_16
6;22;22;18.3;24.32;21.73;17;0102 A2_1_17
7;15;15;14;16.29;14.99;19;0102 A2_1_19
8;13;13;8.95;11;10.67;21;0102 A2_1_21
9;17;17;13.42;15.55;14.39;23;0102 A2_1_23
10;20;20;15.5;18.46;16.76;25;0102 A2_1_25
11;21.5;21.5;18.64;25.3;22.62;26.1;0102 A2_1_26.1
12;19;19;15.78;18.92;17.14;28;0102 A2_1_28
13;21.5;21.5;16.91;21.01;18.88;31;0102 A2_1_31
14;21.5;21.5;16.46;20.13;18.14;32;0102 A2_1_32
15;20;20;18.02;23.56;21.07;37;0102 A2_1_37
16;19;19;17.65;22.64;20.26;39;0102 A2_1_39
17;20.5;20.5;19.17;27.05;24.24;41;0102 A2_1_41
18;19;19;16.01;19.31;17.46;44;0102 A2_1_44
19;23;23;16.46;20.13;18.14;48;0102 A2_1_48
20;20;20;14.05;16.36;15.04;49;0102 A2_1_49
21;19;19;16.23;19.7;17.78;51;0102 A2_1_51
22;21;21;16.81;20.81;18.71;54;0102 A2_1_54
23;19;19;14.75;17.31;15.82;56;0102 A2_1_56
24;20;20;16.73;20.65;18.58;66;0102 A2_1_66
25;21;21;15.68;18.75;17;79;0102 A2_1_79
26;21;21;17.55;22.41;20.06;80;0102 A2_1_80
27;20.5;20.5;15.88;19.09;17.28;83;0102 A2_1_83
28;17;17;13.25;15.35;14.22;85;0102 A2_1_85
29;22;22;18.29;24.27;21.69;88;0102 A2_1_88
30;22.5;22.5;17.45;22.17;19.86;1;0102 A2_2_1
31;NA;12.71;12.71;14.71;13.7;3;0102 A2_2_3
32;NA;14.79;14.79;17.38;15.87;4;0102 A2_2_4
33;NA;13.19;13.19;15.28;14.16;6;0102 A2_2_6
34;NA;13.64;13.64;15.82;14.61;8;0102 A2_2_8
35;22.75;22.75;16.86;20.91;18.79;10;0102 A2_2_10
36;NA;15.68;15.68;18.75;17;12;0102 A2_2_12
37;NA;17.39;17.39;22.03;19.74;13;0102 A2_2_13
38;20;20;15.68;18.75;17;15;0102 A2_2_15
39;NA;14.25;14.25;16.62;15.25;17;0102 A2_2_17
40;NA;14.87;14.87;17.5;15.97;21;0102 A2_2_21
41;NA;14.52;14.52;17;15.57;23;0102 A2_2_23
42;21;21;16.93;21.06;18.92;24;0102 A2_2_24
43;NA;13.74;13.74;15.96;14.72;25;0102 A2_2_25
44;24.73;24.73;18.15;23.9;21.37;27;0102 A2_2_27
45;23.75;23.75;17.3;21.84;19.58;29;0102 A2_2_29
46;NA;17.12;17.12;21.45;19.25;31;0102 A2_2_31
47;NA;15.71;15.71;18.81;17.04;34;0102 A2_2_34
48;NA;9.91;9.91;11.86;11.37;35;0102 A2_2_35
49;20;20;16.29;19.81;17.87;36;0102 A2_2_36
50;NA;14.2;14.2;16.55;15.2;37;0102 A2_2_37
51;NA;16.71;16.71;20.6;18.53;41;0102 A2_2_41
52;NA;12.39;12.39;14.35;13.41;43;0102 A2_2_43
53;18;18;11.77;13.68;12.87;45;0102 A2_2_45
54;NA;14.83;14.83;17.44;15.92;46;0102 A2_2_46
55;23;23;16.38;19.97;18.01;47;0102 A2_2_47
56;NA;13.13;13.13;15.21;14.11;48;0102 A2_2_48
57;24;24;17.67;22.68;20.3;50;0102 A2_2_50
58;NA;14.25;14.25;16.62;15.25;52;0102 A2_2_52
59;23.5;23.5;18.21;24.07;21.51;54;0102 A2_2_54
60;NA;15.24;15.24;18.05;16.42;57;0102 A2_2_57
61;NA;11.09;11.09;12.99;12.3;60;0102 A2_2_60
62;20;20;15.04;17.74;16.17;61;0102 A2_2_61
63;18.5;18.5;13.19;15.28;14.16;65;0102 A2_2_65
64;NA;15.46;15.46;18.4;16.71;66;0102 A2_2_66
65;20.25;20.25;14.75;17.31;15.82;69;0102 A2_2_69
66;NA;14.61;14.61;17.13;15.67;70;0102 A2_2_70
67;NA;14.92;14.92;17.56;16.02;71;0102 A2_2_71
68;NA;14.05;14.05;16.36;15.04;72;0102 A2_2_72
69;18.5;18.5;15;17.68;16.12;74;0102 A2_2_74
70;NA;14.29;14.29;16.68;15.31;76;0102 A2_2_76
71;21;21;16.6;20.39;18.36;78;0102 A2_2_78
72;NA;16.01;16.01;19.31;17.46;80;0102 A2_2_80
73;NA;16.38;16.38;19.97;17.9;2;0107 A2_1_2
74;16;16;16.96;21.11;18.85;4;0107 A2_1_4
75;14;14;16.43;20.08;17.99;7;0107 A2_1_7
76;NA;9.34;9.34;11.35;10.89;9;0107 A2_1_9
77;NA;13.69;13.69;15.89;14.58;10;0107 A2_1_10
78;NA;12.52;12.52;14.5;13.45;12;0107 A2_1_12
79;NA;12.05;12.05;13.98;13.03;13;0107 A2_1_13
80;NA;15.08;15.08;17.81;16.13;14;0107 A2_1_14
81;NA;15.04;15.04;17.74;16.08;15;0107 A2_1_15
82;14;14;16.76;20.7;18.51;19;0107 A2_1_19
83;13.5;13.5;15.16;17.93;16.22;20;0107 A2_1_20
84;NA;16.2;16.2;19.64;17.63;21;0107 A2_1_21
85;NA;14.87;14.87;17.5;15.88;23;0107 A2_1_23
86;NA;17.08;17.08;21.36;19.06;26;0107 A2_1_26
87;NA;16.96;16.96;21.11;18.85;29;0107 A2_1_29
88;NA;15.98;15.98;19.26;17.31;32;0107 A2_1_32
89;NA;14.34;14.34;16.75;15.27;34;0107 A2_1_34
90;NA;14.66;14.66;17.19;15.63;35;0107 A2_1_35
91;12;12;9.63;11.6;11.1;37;0107 A2_1_37
92;NA;16.01;16.01;19.31;17.36;38;0107 A2_1_38
93;NA;15.5;15.5;18.46;16.66;41;0107 A2_1_41
94;14;14;16.86;20.91;18.68;42;0107 A2_1_42
95;15;15;15.5;18.46;16.66;44;0107 A2_1_44
96;16;16;16.73;20.65;18.47;45;0107 A2_1_45
97;NA;15.31;15.31;18.17;16.42;47;0107 A2_1_47
98;NA;15.04;15.04;17.74;16.08;51;0107 A2_1_51
99;NA;13.48;13.48;15.62;14.36;53;0107 A2_1_53
100;14;14;17.03;21.26;18.97;54;0107 A2_1_54
101;NA;13.48;13.48;15.62;14.36;56;0107 A2_1_56
102;NA;13.08;13.08;15.14;13.97;59;0107 A2_1_59
103;13;13;16.23;19.7;17.68;60;0107 A2_1_60
104;NA;12.26;12.26;14.2;13.21;65;0107 A2_1_65
105;NA;14.75;14.75;17.31;15.73;66;0107 A2_1_66
106;12.5;12.5;15.85;19.03;17.13;67;0107 A2_1_67
107;11.5;11.5;12.71;14.71;13.62;69;0107 A2_1_69
108;NA;14.05;14.05;16.36;14.95;71;0107 A2_1_71
109;NA;15.12;15.12;17.87;16.18;72;0107 A2_1_72
110;NA;15.98;15.98;19.26;17.31;75;0107 A2_1_75
111;NA;15;15;17.68;16;1;0107 A2_2_1
112;NA;16.43;16.43;20.08;17.95;5;0107 A2_2_5
113;NA;15.46;15.46;18.4;16.58;6;0107 A2_2_6
114;NA;14.2;14.2;16.55;15.08;8;0107 A2_2_8
115;16;16;13.64;15.82;14.49;10;0107 A2_2_10
116;NA;13.64;13.64;15.82;14.49;12;0107 A2_2_12
117;NA;14.92;14.92;17.56;15.9;14;0107 A2_2_14
118;16.5;16.5;15.81;18.98;17.05;18;0107 A2_2_18
119;NA;15.39;15.39;18.28;16.48;20;0107 A2_2_20
