"","predio","rodal.x","genero","especie.x","plot","codigo_formula","placa_id","dap_2022","pmd_cm","hip_height_m","est_arbol","dan","agt","int","codigo","rodal.y","especie.y","est_edad","est_altitud","parcela","fecha","individuo","dap_2017","pmd","altura_total_formula","altura_10","altura_7_5","altura_5","altura_15","altura_3_75","altura_directa","altura_estimada","dist_altura","h1","h2","observaciones","codi_formula"
"1","SANTA ANA","0101A2","Pinus","patula","1","0101A2_1_1","1","24.3","130","NA",1,"Sin daño","Sin daño","Sin daño","0101A2_1_1","0101 A2","patula","Medio","Bajo",1,2017-03-08,"1",17,1.3,"9.75",9.75,0,FALSE,FALSE,FALSE,0,NA,10,1.5,18,NA,"0101A2_1_1"
"2","SANTA ANA","0101A2","Pinus","patula","1","0101A2_1_2","2","16","130","NA",1,"Torcido, arqueado","Viento","Leve","0101A2_1_2","0101 A2","patula","Medio","Bajo",1,2017-03-08,"2",11.9,1.3,"NA",NA,0,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,"0101A2_1_2"
"3","SANTA ANA","0101A2","Pinus","patula","1","0101A2_1_3","3","26","130","NA",1,"Sin daño","Sin daño","Sin daño","0101A2_1_3","0101 A2","patula","Medio","Bajo",1,2017-03-08,"3",16.8,1.3,"9",9,0,FALSE,FALSE,FALSE,0,NA,10,1,17,NA,"0101A2_1_3"
"4","SANTA ANA","0101A2","Pinus","patula","1","0101A2_1_4","4","22.9","130","NA",1,"Sin daño","Sin daño","Sin daño","0101A2_1_4","0101 A2","patula","Medio","Bajo",1,2017-03-08,"4",17.9,1.3,"NA",NA,0,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,"0101A2_1_4"
"5","SANTA ANA","0101A2","Pinus","patula","1","0101A2_1_5","5","23.2","130","NA",1,"Sin daño","Sin daño","Sin daño","0101A2_1_5","0101 A2","patula","Medio","Bajo",1,2017-03-08,"5",16.7,1.3,"8.5",8.5,0,FALSE,FALSE,FALSE,0,NA,10,1,16,NA,"0101A2_1_5"
"6","SANTA ANA","0101A2","Pinus","patula","1","0101A2_1_6","6","15","130","14.25",1,"Sin daño","Sin daño","Sin daño","0101A2_1_6","0101 A2","patula","Medio","Bajo",1,2017-03-08,"6",13.4,1.3,"NA",NA,0,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,"0101A2_1_6"
"7","SANTA ANA","0101A2","Pinus","patula","1","0101A2_1_7","7","13","130","13.75",1,"Sin daño","Sin daño","Sin daño","0101A2_1_7","0101 A2","patula","Medio","Bajo",1,2017-03-08,"7",10.3,1.3,"8.5",8.5,0,FALSE,FALSE,FALSE,0,NA,10,1,16,NA,"0101A2_1_7"
"8","SANTA ANA","0101A2","Pinus","patula","1","0101A2_1_8","8","28.5","130","16",1,"Sin daño","Sin daño","Sin daño","0101A2_1_8","0101 A2","patula","Medio","Bajo",1,2017-03-08,"8",20.8,1.3,"NA",NA,0,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,"0101A2_1_8"
"9","SANTA ANA","0101A2","Pinus","patula","1","0101A2_1_9","9","19.5","130","NA",1,"Sin daño","Sin daño","Sin daño","0101A2_1_9","0101 A2","patula","Medio","Bajo",1,2017-03-08,"9",13.6,1.3,"8.5",8.5,0,FALSE,FALSE,FALSE,0,NA,10,1,16,NA,"0101A2_1_9"
"10","SANTA ANA","0101A2","Pinus","patula","1","0101A2_1_10","10","19.5","130","NA",1,"Sin daño","Sin daño","Sin daño","0101A2_1_10","0101 A2","patula","Medio","Bajo",1,2017-03-08,"10",14.3,1.3,"NA",NA,0,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,"0101A2_1_10"
"11","SANTA ANA","0101A2","Pinus","patula","1","0101A2_1_11","11","24.2","130","NA",1,"Sin daño","Sin daño","Sin daño","0101A2_1_11","0101 A2","patula","Medio","Bajo",1,2017-03-08,"11",17,1.3,"9",9,0,FALSE,FALSE,FALSE,0,NA,10,5,13,NA,"0101A2_1_11"
"12","SANTA ANA","0101A2","Pinus","patula","1","0101A2_1_12","12","29.8","130","17.75",1,"Sin daño","Sin daño","Sin daño","0101A2_1_12","0101 A2","patula","Medio","Bajo",1,2017-03-08,"12",21.9,1.3,"NA",NA,0,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,"0101A2_1_12"
"13","SANTA ANA","0101A2","Pinus","patula","1","0101A2_1_13","13","16.5","130","NA",1,"Torcido, arqueado","Viento","Medio","0101A2_1_13","0101 A2","patula","Medio","Bajo",1,2017-03-08,"13",14,1.3,"9.5",9.5,0,FALSE,FALSE,FALSE,0,NA,10,6,13,NA,"0101A2_1_13"
"14","SANTA ANA","0101A2","Pinus","patula","1","0101A2_1_14","14","19","130","NA",1,"Sin daño","Sin daño","Sin daño","0101A2_1_14","0101 A2","patula","Medio","Bajo",1,2017-03-08,"14",14.3,1.3,"NA",NA,0,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,"0101A2_1_14"
"15","SANTA ANA","0101A2","Pinus","patula","1","0101A2_1_15","15","19.600000000000001","130","NA",1,"Sin daño","Sin daño","Sin daño","0101A2_1_15","0101 A2","patula","Medio","Bajo",1,2017-03-08,"15",14.8,1.3,"9.5",9.5,0,FALSE,FALSE,FALSE,0,NA,10,6,13,NA,"0101A2_1_15"
